V_num = 50;
Edges = {
<1,15>,
<2,42>,
<2,44>,
<3,6>,
<3,14>,
<3,28>,
<3,35>,
<3,50>,
<4,6>,
<4,7>,
<4,29>,
<4,32>,
<4,46>,
<4,47>,
<5,20>,
<5,38>,
<5,41>,
<6,34>,
<6,47>,
<7,29>,
<7,32>,
<7,46>,
<8,25>,
<8,39>,
<9,13>,
<10,41>,
<10,44>,
<10,45>,
<11,18>,
<11,27>,
<11,43>,
<12,22>,
<12,36>,
<13,19>,
<14,21>,
<14,37>,
<14,38>,
<14,50>,
<15,16>,
<15,31>,
<16,35>,
<16,40>,
<16,50>,
<17,26>,
<17,40>,
<17,49>,
<18,27>,
<18,33>,
<18,43>,
<19,29>,
<19,46>,
<20,25>,
<20,41>,
<21,37>,
<21,38>,
<21,50>,
<22,33>,
<23,24>,
<23,30>,
<23,36>,
<24,30>,
<24,36>,
<24,45>,
<25,39>,
<26,40>,
<26,49>,
<27,43>,
<28,35>,
<28,50>,
<29,32>,
<29,46>,
<30,45>,
<32,46>,
<34,47>,
<34,48>,
<35,50>,
<37,38>,
<40,49>,
<41,42>,
<41,44>,
<42,44>,
<43,48>,
<47,48>
};
weight = [5,45,40,29,2,45,31,97,73,21,45,4,97,58,49,87,24,12,41,26,39,62,73,54,38,88,4,69,26,47,91,30,91,30,59,92,26,41,40,51,13,37,54,9,94,54,95,70,65,87];
